ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market_key,market,market_display,euronext_adn,url,source,source_date
4CAP.MI,.MI,CAPGEMINI,,FR0000125338,4CAP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CBK.MI,.MI,COMMERZBANK,,DE000CBK1001,4CBK,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CDE.MI,.MI,COEUR MINING,,US1921085049,4CDE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CEC.MI,.MI,CECONOMY,,DE0007257503,4CEC,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CHTR.MI,.MI,CHARTER COMM,,US16119P1084,4CHTR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CIEN.MI,.MI,CIENA,,US1717793095,4CIEN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CL.MI,.MI,COLGATE-PALMOLIVE,,US1941621039,4CL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CLX.MI,.MI,THE CLOROX COMPANY,,US1890541097,4CLX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CMCSA.MI,.MI,COMCAST,,US20030N1019,4CMCSA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CNC.MI,.MI,CENTENE,,US15135B1017,4CNC,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4COIN.MI,.MI,COINBASE GLOBAL,,US19260Q1076,4COIN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CON.MI,.MI,CONTINENTAL,,DE0005439004,4CON,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4COP.MI,.MI,CONOCOPHILLIPS,,US20825C1045,4COP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4COST.MI,.MI,COSTCO WHOLESALE,,US22160K1051,4COST,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4COV.MI,.MI,COVIVIO REIT,,FR0000064578,4COV,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CRM.MI,.MI,SALESFORCE,,US79466L3024,4CRM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CRWD.MI,.MI,Crowdstrike Hold,,US22788C1053,4CRWD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CS.MI,.MI,AXA,,FR0000120628,4CS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CSCO.MI,.MI,CISCO SYSTEMS,,US17275R1023,4CSCO,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CSGP.MI,.MI,CoStar Group,,US22160N1090,4CSGP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CVA.MI,.MI,CLEVELAND-CLIFFS,,US1858991011,4CVA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CVS.MI,.MI,CVS HEALTH,,US1266501006,4CVS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CVX.MI,.MI,CHEVRON,,US1667641005,4CVX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4CYTH.MI,.MI,LUMEN TECHNOLOGIES,,US5502411037,4CYTH,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4D.MI,.MI,DOMINION ENERGY,,US25746U1097,4D,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DASH.MI,.MI,DOORDASH,,US25809K1051,4DASH,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DB1.MI,.MI,DEUTSCHE BOERSE,,DE0005810055,4DB1,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DBK.MI,.MI,DEUTSCHE BANK,,DE0005140008,4DBK,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DD.MI,.MI,DUPONT DE NEMOURS,,US26614N1028,4DD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DDD.MI,.MI,3D SYSTEMS CORP,,US88554D2053,4DDD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DE.MI,.MI,DEERE & CO,,US2441991054,4DE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
