ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market,source,n_days,first_trade_date,last_trade_date,alive_at_period_end,inferred_delisted_before_period_end,status
4CNC.MI,.MI,CENTENE,,US15135B1017,4CNC,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4COIN.MI,.MI,COINBASE GLOBAL,,US19260Q1076,4COIN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CON.MI,.MI,CONTINENTAL,,DE0005439004,4CON,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4COP.MI,.MI,CONOCOPHILLIPS,,US20825C1045,4COP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4COST.MI,.MI,COSTCO WHOLESALE,,US22160K1051,4COST,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4COV.MI,.MI,COVIVIO REIT,,FR0000064578,4COV,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CRM.MI,.MI,SALESFORCE,,US79466L3024,4CRM,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CRWD.MI,.MI,Crowdstrike Hold,,US22788C1053,4CRWD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CS.MI,.MI,AXA,,FR0000120628,4CS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CSCO.MI,.MI,CISCO SYSTEMS,,US17275R1023,4CSCO,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CSGP.MI,.MI,CoStar Group,,US22160N1090,4CSGP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CVA.MI,.MI,CLEVELAND-CLIFFS,,US1858991011,4CVA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CVS.MI,.MI,CVS HEALTH,,US1266501006,4CVS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CVX.MI,.MI,CHEVRON,,US1667641005,4CVX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CYTH.MI,.MI,LUMEN TECHNOLOGIES,,US5502411037,4CYTH,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4D.MI,.MI,DOMINION ENERGY,,US25746U1097,4D,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DASH.MI,.MI,DOORDASH,,US25809K1051,4DASH,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DB1.MI,.MI,DEUTSCHE BOERSE,,DE0005810055,4DB1,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DBK.MI,.MI,DEUTSCHE BANK,,DE0005140008,4DBK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DD.MI,.MI,DUPONT DE NEMOURS,,US26614N1028,4DD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DDD.MI,.MI,3D SYSTEMS CORP,,US88554D2053,4DDD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DE.MI,.MI,DEERE & CO,,US2441991054,4DE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DELL.MI,.MI,Dell Technologies,,US24703L2025,4DELL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DEQ.MI,.MI,DEUTSCHE EUROSHOP,,DE0007480204,4DEQ,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DEZ.MI,.MI,DEUTZ,,DE0006305006,4DEZ,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DG.MI,.MI,VINCI,,FR0000125486,4DG,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DGX.MI,.MI,DOLLAR GENERAL,,US2566771059,4DGX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DHER.MI,.MI,DELIVERY HERO,,DE000A2E4K43,4DHER,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DHL.MI,.MI,DEUTSCHE POST,,DE0005552004,4DHL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DHR.MI,.MI,DANAHER,,US2358511028,4DHR,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DIM.MI,.MI,SARTORIUS STEDIM B,,FR0013154002,4DIM,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DIS.MI,.MI,THE WALT DISNEY,,US2546871060,4DIS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DOW.MI,.MI,DOW,,US2605571031,4DOW,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DR.MI,.MI,DEUTSCHE ROHSTOFF,,DE000A0XYG76,4DR,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DSY.MI,.MI,DASSAULT SYSTEMES,,FR0014003TT8,4DSY,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DTE.MI,.MI,DEUTSCHE TELEKOM,,DE0005557508,4DTE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DUE.MI,.MI,DURR,,DE0005565204,4DUE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DWNI.MI,.MI,DEUTSCHE WOHNEN,,DE000A0HN5C6,4DWNI,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4DY6.MI,.MI,DEVON ENERGY,,US25179M1036,4DY6,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EA.MI,.MI,ELECTRONIC ARTS,,US2855121099,4EA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EBAY.MI,.MI,EBAY,,US2786421030,4EBAY,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EBS.MI,.MI,Erste Group Bank,,AT0000652011,4EBS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ECL.MI,.MI,ECOLAB,,US2788651006,4ECL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ED.MI,.MI,CONSOLIDATED EDIS,,US2091151041,4ED,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EDP.MI,.MI,"EDP, SA",,PTEDP0AM0009,4EDP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EL.MI,.MI,ESSILORLUXOTTICA,,FR0000121667,4EL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ELE.MI,.MI,ENDESA,,ES0130670112,4ELE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ELX.MI,.MI,ESTEE LAUDER COMP,,US5184391044,4ELX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EMR.MI,.MI,EMERSON ELECTRIC,,US2910111044,4EMR,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EN.MI,.MI,BOUYGUES,,FR0000120503,4EN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ENG.MI,.MI,ENAGAS,,ES0130960018,4ENG,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ENGI.MI,.MI,ENGIE,,FR0010208488,4ENGI,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ENR.MI,.MI,SIEMENS ENERGY,,DE000ENER6Y0,4ENR,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EOAN.MI,.MI,E.ON,,DE000ENAG999,4EOAN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ERF.MI,.MI,EUROFINS SCIENT,,FR0014000MR3,4ERF,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ERICB.MI,.MI,ERICSSON - CLASS B,,SE0000108656,4ERICB,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ES.MI,.MI,EVERSOURCE ENERGY,,US30040W1080,4ES,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ETSY.MI,.MI,ETSY,,US29786A1060,4ETSY,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EUZ.MI,.MI,ECKERT & ZIEGLER,,DE0005659700,4EUZ,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EVK.MI,.MI,EVONIK INDUSTRIES,,DE000EVNK013,4EVK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EVT.MI,.MI,EVOTEC,,DE0005664809,4EVT,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EW.MI,.MI,EDWARDS LIFESCIENC,,US28176E1082,4EW,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EXC.MI,.MI,EXELON,,US30161N1019,4EXC,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4EXPE.MI,.MI,EXPEDIA GROUP,,US30212P3038,4EXPE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4F.MI,.MI,FORD MOTOR,,US3453708600,4F,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4FB.MI,.MI,META PLATFORMS,,US30303M1027,4FB,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4FCX.MI,.MI,FREEPORT-MCMORAN,,US35671D8570,4FCX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4FDO.MI,.MI,MACYS,,US55616P1049,4FDO,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4FDX.MI,.MI,FEDEX,,US31428X1063,4FDX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4FEY2.MI,.MI,FUELCELL ENERGY,,US35952H7008,4FEY2,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
